O*NET-SOC Code,Title,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Auto label value,Auto probability0,Auto probability1,Auto probability2,Auto probability
31-1121.00,Home Health Aides,3.25,3.62,2.88,3.0,2.0,0.88,3.25,3.0,3.0,3.12,3.25,3.0,2.88,2.75,3.0,3.38,3.0,0.25,0.25,0.0,0.0,0.0,2.12,0.38,0.0,1.0,0.0,1.25,3.0,2.0,2.0,3.0,1.25,1.38,2.25,0,0.5052991723457634,0.4183005997351472,0.5417205858958596,0.48844011932559006
31-1122.00,Personal Care Aides,2.75,2.88,2.75,2.88,1.62,0.75,3.0,2.75,2.62,3.12,3.12,2.88,2.38,2.0,2.38,3.75,2.38,0.0,0.38,0.0,0.0,0.0,1.62,1.38,0.0,0.88,0.0,1.75,2.5,1.38,1.5,2.62,0.38,0.62,1.75,1,0.5670044853488321,0.428434255963964,0.5980422503074863,0.5311603305400941
31-1131.00,Nursing Assistants,3.0,3.0,2.75,3.0,1.88,0.88,3.12,2.75,2.12,3.0,3.25,3.0,1.75,1.75,2.62,3.88,2.25,0.12,0.62,0.38,0.0,0.0,1.88,0.88,0.0,0.88,0.0,1.88,2.5,1.38,2.0,2.25,0.38,0.62,1.88,1,0.5801830886624089,0.44819324458700294,0.6040819253454686,0.5441527528649601
31-1132.00,Orderlies,2.0,2.5,2.25,2.12,0.88,0.25,2.12,1.88,2.0,2.0,2.5,2.62,1.5,1.62,2.25,2.62,1.62,0.12,0.25,0.25,0.0,0.0,1.38,1.25,0.12,1.62,0.0,1.25,1.62,1.25,1.0,2.12,0.0,0.25,1.62,1,0.7028873767204686,0.5779728227002465,0.692536070325275,0.6577987565819967
31-1133.00,Psychiatric Aides,3.12,3.38,3.0,3.0,1.75,0.75,3.25,3.0,3.12,3.62,4.0,3.62,3.0,2.88,2.88,3.38,3.0,0.38,0.62,0.0,0.0,0.0,2.0,1.25,0.0,1.0,0.0,1.75,2.88,2.0,2.0,2.75,0.75,1.0,2.25,0,0.41871934858943405,0.2785466274046371,0.49494671006223,0.39740422868543374
31-2011.00,Occupational Therapy Assistants,3.62,3.88,3.62,3.38,2.25,1.62,3.25,3.0,3.12,3.38,3.75,3.5,3.25,3.12,3.12,3.25,3.12,0.62,1.0,0.12,0.25,0.38,2.62,1.75,0.25,1.62,0.38,1.75,3.0,3.0,2.62,3.25,0.75,1.88,2.62,0,0.40217527432452016,0.3131627837842643,0.46556057275297746,0.39363287695392063
31-2012.00,Occupational Therapy Aides,3.38,3.62,3.0,3.5,1.75,0.75,3.38,3.0,3.0,3.12,3.5,3.0,2.88,2.25,3.0,3.75,2.88,1.62,0.62,0.38,0.0,0.12,2.12,1.12,0.75,1.12,0.75,1.62,2.88,2.12,2.12,2.88,0.5,0.88,2.38,0,0.4912289511391581,0.38557329166050636,0.532828043821425,0.46987676220702984
31-2021.00,Physical Therapist Assistants,3.88,4.0,3.12,3.88,2.0,2.12,3.88,3.12,3.12,3.88,3.75,3.12,3.12,2.12,3.38,3.75,3.0,1.62,1.25,1.62,0.0,1.0,2.62,1.88,0.88,2.12,1.0,2.75,3.0,2.88,2.75,3.0,0.88,0.88,2.62,0,0.4129600142783829,0.36334158180818577,0.4678678653687314,0.41472315381843333
31-2022.00,Physical Therapist Aides,3.0,3.12,2.75,3.0,1.88,1.75,2.88,2.75,2.75,3.25,3.5,3.12,2.38,2.12,2.88,3.0,2.75,1.0,1.25,0.25,0.0,0.25,2.38,2.0,0.88,1.88,0.0,1.75,2.12,2.0,1.62,2.38,0.25,0.38,2.12,1,0.5572451354371708,0.4818533690586406,0.5828079850708718,0.5406354965222278
31-9011.00,Massage Therapists,3.12,3.25,2.88,3.62,1.5,1.0,3.25,3.0,2.88,3.0,3.25,1.88,1.62,1.75,2.25,3.12,2.75,1.25,1.12,0.0,0.0,0.0,0.5,0.0,0.0,0.38,0.0,1.0,2.88,2.12,2.38,2.38,0.5,0.88,0.88,1,0.6684398100021554,0.6205930182418911,0.6434618720826961,0.6441649001089141
31-9091.00,Dental Assistants,3.25,3.38,3.0,3.12,2.0,1.75,3.12,3.12,2.5,3.0,3.0,2.75,2.62,2.38,3.0,3.12,2.88,0.88,1.0,1.75,0.0,0.38,2.62,2.0,1.25,1.88,1.38,2.25,2.62,2.0,2.0,2.62,0.88,1.88,2.0,1,0.5921770336775865,0.6005415605370672,0.5890752587004044,0.5939312843050194
31-9092.00,Medical Assistants,4.0,3.88,3.25,4.0,2.62,2.25,3.62,3.38,3.12,3.5,3.88,3.12,2.88,2.38,3.0,3.25,2.88,0.75,0.62,1.0,0.0,0.62,2.25,1.25,0.5,1.38,0.75,1.75,3.0,2.38,2.38,2.88,1.12,1.38,2.25,1,0.518719844073388,0.4933412582006049,0.5288845705760608,0.5136485576166846
31-9093.00,Medical Equipment Preparers,2.88,3.0,2.75,2.75,2.25,1.0,2.88,3.0,2.62,3.0,2.62,2.88,1.62,1.38,2.25,2.5,2.5,0.38,0.5,2.0,2.12,0.75,3.0,2.62,2.62,2.62,2.38,3.12,2.75,2.12,2.0,2.75,0.88,2.0,1.62,1,0.6572581990654953,0.6163124122419958,0.6329043427241743,0.6354916513438885
31-9095.00,Pharmacy Aides,3.25,3.0,2.5,2.88,2.38,0.5,2.88,2.5,2.25,2.62,2.88,2.75,1.75,1.62,2.0,3.12,2.38,0.5,0.62,0.38,0.0,0.5,1.62,1.0,0.5,0.88,0.12,1.75,2.25,1.5,1.12,2.25,0.88,1.38,1.62,1,0.7139277837416103,0.6725983284738959,0.6778353240503634,0.6881204787552898
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,3.12,3.25,3.25,3.0,2.62,2.38,3.12,3.0,2.12,3.12,3.0,3.0,2.25,2.25,2.88,3.12,2.25,1.62,0.88,0.75,0.0,0.38,2.12,1.88,0.75,1.75,0.62,2.0,2.75,2.0,2.0,2.38,1.75,2.0,2.0,1,0.613530520140813,0.6064353230185873,0.6013050405291835,0.6070902945628612
31-9097.00,Phlebotomists,3.25,3.5,3.0,3.75,2.12,2.12,3.25,3.0,3.0,3.0,3.25,3.0,2.5,1.75,3.0,3.25,2.38,0.25,0.62,1.0,0.0,0.62,1.75,1.25,0.75,1.62,0.62,2.25,2.62,2.0,1.88,3.0,0.75,1.12,2.38,1,0.5750317138640924,0.5424062502592903,0.5800345617888638,0.5658241753040821
31-9099.01,Speech-Language Pathology Assistants,3.75,4.0,3.38,3.75,2.38,1.38,3.5,2.75,3.12,3.5,3.75,3.12,2.75,2.62,3.12,3.38,3.12,0.62,1.38,0.5,0.0,0.38,1.75,0.5,0.5,0.25,0.25,0.25,3.12,2.88,3.12,3.0,1.12,1.5,2.5,0,0.4961621417095152,0.4754087131522553,0.5141564609307991,0.4952424385975232
31-9099.02,Endoscopy Technicians,4.0,3.38,3.0,3.12,2.12,0.88,3.25,3.0,2.38,3.12,3.12,3.0,2.5,2.12,2.88,3.0,2.62,0.25,0.5,2.12,0.0,0.38,3.0,3.0,2.88,2.75,2.38,2.88,3.0,2.25,2.12,2.5,0.5,1.12,2.0,1,0.6413933301953989,0.6867002367758914,0.6133937837689416,0.647162450246744
33-1011.00,First-Line Supervisors of Correctional Officers,4.0,4.0,3.62,4.0,2.0,0.5,4.0,3.25,3.12,4.25,4.0,4.0,3.62,3.12,3.38,3.0,3.25,1.62,0.62,0.0,0.0,0.5,2.0,1.62,0.0,1.0,0.0,1.88,3.25,3.12,3.12,3.88,1.25,1.88,4.0,0,0.3065024784613115,0.2138295884492436,0.3888393765910223,0.3030571478338591
33-1012.00,First-Line Supervisors of Police and Detectives,4.0,4.12,3.88,4.0,2.62,1.12,4.12,3.88,3.88,4.38,4.0,4.0,4.0,3.5,4.0,3.38,4.0,2.62,0.88,0.0,0.0,1.0,2.38,2.12,0.0,1.12,0.0,2.0,3.62,3.25,3.38,4.12,3.0,2.88,4.0,0,0.21809257075699406,0.14964139844153124,0.3127309351776262,0.2268216347920505
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,3.94,3.94,3.75,4.0,3.19,2.25,4.12,3.88,3.63,4.38,3.69,4.12,3.44,3.0,3.62,3.5,4.0,3.0,1.06,2.25,0.0,0.56,3.12,3.12,2.56,2.62,2.19,3.25,4.0,3.5,3.56,3.88,1.88,2.31,3.94,0,0.2975703008870596,0.34861573846529836,0.3663468984985059,0.3375109792836213
33-2011.00,Firefighters,3.5,3.5,2.94,3.19,2.25,1.63,3.75,3.0,3.0,3.69,3.06,3.81,3.0,3.0,3.06,3.25,2.94,1.0,1.0,2.63,0.06,0.25,3.12,3.06,2.81,2.94,2.88,2.69,3.25,3.0,2.88,3.0,0.94,1.87,2.75,1,0.47518389984514897,0.5278824446851402,0.5017579182344472,0.5016080875882455
33-2021.00,Fire Inspectors and Investigators,4.06,4.06,3.81,3.94,2.81,3.19,4.06,3.62,3.0,3.44,3.19,3.25,3.06,2.81,3.0,2.94,3.5,1.44,0.81,0.69,0.0,0.88,2.81,2.38,0.44,2.44,0.25,2.75,3.81,2.94,3.06,3.12,1.12,1.19,2.56,0,0.46953931896914725,0.44413814514837213,0.48848073921765334,0.4673860677783909
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.38,3.25,3.0,3.38,2.38,1.75,3.88,3.25,3.12,3.38,2.88,3.75,3.12,2.88,3.0,3.0,3.25,1.0,0.88,1.38,0.0,0.62,2.62,2.38,1.38,2.12,1.12,2.25,3.25,3.12,3.12,3.38,1.12,1.75,3.38,0,0.45024500108794996,0.42829322996317387,0.48685117778792986,0.45512980294635125
33-3011.00,Bailiffs,2.88,3.12,2.25,3.0,0.75,0.0,3.12,2.12,2.0,3.25,3.38,2.88,2.88,2.75,2.12,2.5,2.38,0.25,0.38,0.0,0.0,0.25,1.5,0.75,0.0,0.38,0.0,1.12,3.0,1.38,0.75,2.38,0.25,0.38,2.12,1,0.6311108775110768,0.5451395940272903,0.6320511146839181,0.6027671954074284
33-3012.00,Correctional Officers and Jailers,3.75,3.38,3.12,3.62,2.0,0.62,3.62,3.0,3.0,3.88,3.75,3.62,3.12,3.0,3.0,2.75,2.75,0.5,0.62,0.0,0.0,0.5,2.25,2.0,0.0,1.62,0.0,1.88,3.0,2.5,2.38,3.0,0.12,0.38,2.5,0,0.47235281931421724,0.3961984909076932,0.5132745716390659,0.4606086272869921
33-3021.00,Detectives and Criminal Investigators,3.94,4.06,3.75,4.0,2.19,2.31,4.12,3.69,3.0,3.19,3.75,3.25,3.38,3.5,3.06,3.06,3.88,1.81,0.88,0.32,0.0,0.81,2.5,2.31,0.0,1.12,0.0,1.62,3.81,2.75,3.06,3.06,1.0,1.06,2.81,0,0.4221677400178123,0.36328486106344826,0.4602029269208998,0.41521850933405346
33-3021.02,Police Identification and Records Officers,4.12,3.88,3.25,3.88,2.38,1.0,4.0,3.25,2.88,3.25,3.25,2.88,3.0,3.0,3.12,2.75,3.12,0.62,0.75,0.5,0.0,0.62,2.62,2.62,0.0,0.75,0.0,1.75,3.12,2.75,2.25,2.88,0.75,1.25,2.5,1,0.5574104225398031,0.5579413210010813,0.5497832010528896,0.555044981531258
33-3021.06,Intelligence Analysts,4.75,4.12,4.0,4.12,3.12,1.75,4.25,3.5,3.12,3.5,3.25,3.5,3.12,3.12,3.25,3.12,3.88,1.88,1.38,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.25,3.88,3.0,3.0,3.0,1.0,1.0,2.25,1,0.5507782018210037,0.6616084493252288,0.5174542383891776,0.5766136298451366
33-3031.00,Fish and Game Wardens,4.12,3.75,3.38,3.62,2.88,2.75,4.0,3.5,3.0,3.5,3.5,3.38,3.38,2.88,3.12,3.12,3.25,2.5,0.75,1.25,0.0,0.5,2.62,2.88,1.88,1.88,1.88,2.75,3.25,3.25,3.25,3.0,0.75,0.62,2.88,0,0.47881075401856066,0.47904258637360186,0.4940274703579828,0.48396027025004845
33-3041.00,Parking Enforcement Workers,2.88,3.0,2.38,3.0,1.75,0.0,3.0,2.38,2.38,3.0,2.88,2.75,2.12,2.12,2.75,2.88,2.38,0.38,0.38,1.12,0.0,0.75,2.12,2.25,1.62,2.0,1.0,2.0,2.25,2.12,1.75,2.62,0.38,0.38,2.38,1,0.6757868898266679,0.6905817200122328,0.6504956825928616,0.6722880974772542
33-3051.00,Police and Sheriff's Patrol Officers,3.88,4.0,3.31,3.94,1.81,0.81,3.94,3.19,3.0,3.44,4.0,3.75,3.81,4.0,3.12,3.75,3.44,1.69,0.56,0.06,0.0,0.38,2.44,2.56,0.0,1.0,0.0,1.75,3.56,2.81,2.88,3.31,0.69,1.38,2.81,0,0.3150577675457953,0.20952318949377968,0.40308603882709804,0.30922233195555765
33-3051.04,Customs and Border Protection Officers,3.88,4.0,3.75,4.0,2.12,1.12,3.88,3.12,2.88,3.75,3.38,3.38,3.12,3.0,3.0,3.0,3.0,0.62,0.5,0.0,0.0,0.5,2.25,2.12,0.0,0.88,0.0,1.88,3.5,2.38,2.5,3.25,0.75,1.12,2.75,0,0.473766379974073,0.42180162913473396,0.5014708715874701,0.465679626898759
33-3052.00,Transit and Railroad Police,3.25,3.25,3.0,3.88,2.0,0.12,3.38,3.0,3.25,3.5,3.25,3.25,3.38,3.12,3.0,3.0,3.0,1.75,0.62,0.0,0.0,0.75,2.25,2.25,0.0,1.5,0.0,1.62,3.12,2.75,2.25,3.12,1.12,1.12,2.88,0,0.4616535834810662,0.38723833990340495,0.5027925009509886,0.45056147477848657
33-9011.00,Animal Control Workers,3.0,3.38,2.88,3.0,1.25,0.25,3.5,2.88,2.62,2.88,2.88,3.0,2.88,2.5,2.62,2.88,2.75,1.38,0.25,0.38,0.0,0.38,1.75,1.5,0.12,0.38,0.0,1.25,2.88,1.88,2.12,2.88,0.75,1.0,2.0,1,0.6101075140969954,0.5783032868631892,0.6044899394196079,0.5976335801265975
33-9021.00,Private Detectives and Investigators,4.0,4.12,3.62,3.88,2.12,0.62,4.12,3.38,2.12,3.5,3.5,2.88,3.0,2.88,2.25,2.88,3.0,1.5,0.62,0.38,0.0,1.0,0.88,1.38,0.0,0.38,0.0,1.25,3.38,2.88,2.88,3.0,1.12,1.0,2.0,1,0.6203127774560073,0.6991272283198668,0.5807773305113813,0.6334057787624184
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.5,3.25,3.12,3.62,1.75,0.25,3.75,3.12,2.88,3.88,2.88,3.0,2.38,2.38,3.0,2.38,2.5,0.5,0.62,0.0,0.0,0.38,2.12,1.62,0.0,0.75,0.25,1.88,3.12,2.25,2.38,3.0,0.62,0.62,2.5,1,0.5950826622529348,0.5843056845812384,0.5862388753172354,0.5885424073838029
33-9032.00,Security Guards,3.0,2.88,2.88,2.75,0.75,0.5,2.88,2.5,2.25,3.12,2.62,2.88,2.5,2.0,2.12,2.62,2.25,0.5,0.12,0.12,0.0,0.0,2.12,1.88,0.12,1.12,0.12,1.38,2.25,1.0,1.38,2.0,0.25,0.38,1.75,1,0.6725022625228689,0.6024649183480619,0.6604626859478913,0.6451432889396074
33-9091.00,Crossing Guards and Flaggers,2.0,2.75,1.75,2.5,0.62,0.0,2.5,1.62,0.88,2.62,2.5,2.5,1.75,1.38,1.5,2.62,1.88,0.25,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.38,0.0,0.25,2.5,0.88,0.75,1.62,0.38,0.5,1.0,1,0.7359847964424944,0.5606143987356518,0.7104067149720095,0.6690019700500519
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.88,3.12,2.62,3.0,0.62,0.62,3.0,2.75,3.0,3.5,3.25,2.88,2.5,2.0,2.5,3.12,2.62,0.25,0.0,0.5,0.0,0.0,1.25,0.5,0.25,0.75,0.25,1.5,3.0,1.12,1.38,1.88,0.12,0.38,2.0,1,0.5809336937183502,0.4510987527468302,0.6051260918580681,0.5457195127744162
33-9093.00,Transportation Security Screeners,3.0,3.5,2.62,3.0,1.62,1.0,3.5,3.0,2.75,3.12,3.0,3.38,3.0,2.5,2.88,2.75,2.75,1.38,0.0,1.62,0.0,0.88,2.88,2.5,1.5,1.88,1.25,2.5,2.88,2.0,2.38,2.12,1.0,1.12,2.38,1,0.6001059330338308,0.6109343309478561,0.5920286645412602,0.6010229761743157
33-9099.02,Retail Loss Prevention Specialists,3.62,3.25,3.25,3.5,2.75,0.25,3.62,3.0,2.75,3.5,3.12,3.12,2.88,2.62,3.0,2.75,2.88,0.75,0.88,0.38,0.0,1.0,2.38,1.38,0.0,1.88,0.0,2.25,3.0,2.75,3.0,2.75,1.62,1.5,2.88,1,0.5381826723711214,0.5211700764451521,0.5439431880713954,0.5344319789625563
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.5,3.12,3.12,3.75,3.0,0.0,4.0,3.25,3.12,3.75,3.62,3.75,3.25,3.0,3.0,3.62,3.0,1.62,0.62,0.12,0.0,0.38,2.0,1.88,0.12,1.38,0.0,2.62,3.0,3.0,3.25,3.62,2.88,2.75,3.62,0,0.3299193198179182,0.23639489001556058,0.4104888130162294,0.3256010076165694
35-2012.00,"Cooks, Institution and Cafeteria",2.88,3.0,2.62,2.88,2.75,0.0,2.88,2.88,2.75,3.0,2.88,3.12,2.5,2.0,2.75,3.0,2.88,1.62,0.75,0.62,0.0,0.0,2.38,2.0,0.25,1.12,0.0,2.5,2.88,2.0,2.12,3.0,1.88,2.62,3.0,1,0.5367415842777774,0.48574814614183026,0.5598351127787993,0.527441614399469
35-2013.00,"Cooks, Private Household",3.0,2.88,2.5,3.0,2.0,0.5,3.0,3.12,2.25,3.0,2.88,2.88,2.62,1.75,0.62,3.62,2.88,2.0,0.75,0.62,0.0,0.25,2.0,1.88,0.0,1.25,0.0,2.12,2.75,2.0,1.88,2.88,2.62,3.0,2.5,1,0.5779172557010952,0.5238737813596046,0.5874710472590152,0.563087361439905
35-2014.00,"Cooks, Restaurant",2.38,3.0,2.5,3.0,2.25,0.38,3.0,2.75,2.38,3.12,2.88,3.12,2.12,2.25,2.5,2.38,2.12,0.75,0.25,1.12,0.0,0.12,2.38,2.0,0.0,1.25,0.0,2.5,2.62,2.0,2.12,3.0,1.75,2.12,2.5,1,0.6190948379795032,0.6056515244569596,0.6127338311543724,0.6124933978636117
35-2015.00,"Cooks, Short Order",2.75,2.88,2.62,2.88,2.0,0.0,2.75,2.62,2.25,2.88,2.75,3.0,2.62,2.25,2.38,2.88,2.12,0.25,0.75,0.25,0.0,0.12,1.88,0.75,0.0,1.5,0.0,1.62,2.38,1.12,1.88,2.75,1.5,1.88,2.25,1,0.6046492801773979,0.5162459305772131,0.6140655799732428,0.5783202635759513
35-2021.00,Food Preparation Workers,2.12,2.38,2.12,2.12,1.88,0.0,2.12,2.12,2.12,2.12,2.12,2.12,2.0,1.75,2.12,2.12,2.12,0.25,0.12,0.12,0.0,0.0,1.88,1.38,0.0,1.38,0.0,1.88,2.12,1.25,1.25,2.25,0.62,0.88,1.88,1,0.7419909859558516,0.6679604347426675,0.708548366986463,0.706166595894994
35-3011.00,Bartenders,3.0,3.12,3.0,3.0,2.12,0.0,2.88,3.0,2.88,3.0,3.0,3.0,3.0,2.88,3.0,3.12,2.62,0.0,0.5,0.25,0.0,0.25,2.0,0.88,0.12,1.25,0.0,1.88,2.88,2.0,2.12,2.5,2.0,2.12,2.5,1,0.5239193971022829,0.43833351554613387,0.554846035214311,0.5056996492875759
35-3023.00,Fast Food and Counter Workers,2.31,2.56,2.19,2.69,1.94,0.0,2.44,2.06,2.25,2.25,2.5,2.81,2.25,1.87,2.19,2.81,2.19,0.06,0.12,0.0,0.0,0.06,1.81,0.94,0.0,0.94,0.0,1.69,2.19,1.69,1.69,2.19,0.94,1.0,2.06,1,0.6844099925322098,0.5894500813276125,0.6696465526802626,0.6478355421800283
35-3023.01,Baristas,2.75,2.62,2.38,2.62,2.0,0.0,2.75,2.62,2.0,2.5,2.62,2.75,2.5,2.5,2.5,2.88,2.25,0.25,0.5,1.12,0.0,0.0,2.38,2.25,1.62,1.62,1.5,1.88,2.25,1.38,1.25,2.38,1.12,1.12,1.88,1,0.6906306686150288,0.7022673128169004,0.6644170610260289,0.6857716808193194
35-3041.00,"Food Servers, Nonrestaurant",2.12,2.38,2.12,2.5,1.5,0.0,2.38,2.12,2.12,2.25,2.62,2.62,2.0,1.38,1.88,2.12,2.12,0.62,0.75,0.12,0.0,0.12,1.38,1.12,0.25,1.12,0.0,2.0,2.12,1.25,1.12,2.12,1.0,1.0,2.0,1,0.7153748957537118,0.6266683605617516,0.6921011973987561,0.6780481512380732
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,2.0,2.0,1.25,2.12,1.25,0.0,2.25,2.12,2.0,2.12,2.0,2.88,1.88,1.75,1.88,2.12,2.0,0.25,0.12,0.0,0.0,0.12,1.5,0.88,0.0,1.12,0.0,1.5,2.12,1.12,1.12,2.12,1.38,1.12,2.12,1,0.7075485402781396,0.5792938344388574,0.6914072941992231,0.6594165563054067
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.38,2.88,2.12,2.88,1.88,0.0,2.62,2.38,2.12,2.0,2.88,3.0,2.75,2.62,2.0,3.12,1.75,0.0,0.12,0.0,0.0,0.25,0.5,0.25,0.0,0.25,0.0,0.62,1.88,1.88,1.62,2.38,0.25,0.25,2.12,1,0.6742099265150046,0.557868777632649,0.6601470699283141,0.6307419246919892
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,3.25,3.12,3.0,3.38,2.12,0.0,3.25,2.88,3.0,3.88,3.38,3.5,3.12,3.0,3.12,3.12,2.88,1.5,0.38,1.12,0.0,0.0,2.0,1.75,1.75,1.88,1.38,2.62,2.88,2.12,2.38,3.75,2.5,3.0,3.88,0,0.39582790364804055,0.3472903137400749,0.46053328796288895,0.4012171684503348
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.62,3.88,3.0,4.0,2.88,1.0,3.75,3.0,3.0,3.75,3.62,3.75,3.0,3.0,3.0,3.12,3.0,2.12,1.0,1.62,0.38,0.75,3.0,2.88,2.12,2.12,1.88,2.88,3.0,2.88,2.88,3.88,2.25,2.88,3.88,0,0.39658804505432954,0.3932821379965219,0.4439817145734679,0.4112839658747731
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.0,2.25,1.5,2.12,0.0,0.0,2.12,2.0,0.88,1.88,2.12,2.12,1.88,1.5,1.12,2.38,2.0,0.38,0.0,1.0,0.0,0.0,2.0,1.38,1.88,1.62,1.12,1.25,2.12,0.75,0.5,2.12,0.0,0.25,1.38,1,0.7612486922773769,0.6769964989723576,0.7274309408825843,0.7218920440441062
37-2021.00,Pest Control Workers,3.0,3.0,3.0,3.0,2.62,1.75,3.38,2.88,2.75,3.0,2.88,3.0,3.0,2.88,2.88,3.0,3.0,1.25,0.62,1.88,0.0,0.0,2.75,2.62,1.88,2.0,1.88,2.38,2.88,2.62,2.0,3.0,2.0,2.0,2.88,1,0.5590445933940913,0.5983313642322798,0.5596769619118618,0.572350973179411
37-3011.00,Landscaping and Groundskeeping Workers,1.88,2.25,1.25,1.88,0.75,0.88,1.88,2.0,1.88,1.88,2.0,2.38,1.62,1.38,1.75,2.12,2.12,0.25,0.62,1.75,0.25,0.0,2.25,2.62,1.88,2.0,2.0,2.0,2.25,1.62,1.62,2.0,0.12,0.5,1.75,1,0.753012042728642,0.7381499542637471,0.7158331110439917,0.735665036012127
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2.88,3.0,2.25,3.0,2.0,1.38,2.88,2.38,2.0,2.75,2.5,2.75,2.38,1.75,2.12,2.25,2.88,0.38,0.38,1.88,0.0,0.0,2.88,3.0,2.25,2.12,1.88,2.25,2.88,2.0,2.0,2.88,1.12,1.25,2.25,1,0.7249092035820013,0.7947052290446663,0.6729275616561381,0.7308473314276019
37-3013.00,Tree Trimmers and Pruners,2.5,2.62,2.5,2.75,1.38,0.88,3.0,2.12,2.0,3.0,2.5,3.12,2.12,2.0,3.0,2.5,2.75,0.38,0.62,2.12,0.38,0.0,3.0,3.12,2.38,2.25,2.0,2.62,2.5,2.0,1.62,3.0,1.0,1.0,2.62,1,0.6443978227036382,0.7163057978474399,0.6294774214441361,0.6633936806650714
39-1013.00,First-Line Supervisors of Gambling Services Workers,3.19,3.56,3.0,3.5,2.12,0.63,3.81,2.88,2.25,3.44,3.5,3.5,2.94,3.06,2.75,3.25,2.94,0.38,0.38,0.25,0.0,0.25,1.62,1.06,0.62,1.0,0.62,1.75,3.12,2.38,2.31,3.25,1.62,1.31,3.13,0,0.48245359387395936,0.4183168407374467,0.5180037872304624,0.4729247406139561
39-1022.00,First-Line Supervisors of Personal Service Workers,3.5,3.75,3.12,3.75,2.12,0.62,3.75,3.0,3.0,3.5,3.75,3.5,3.25,3.12,3.12,3.0,3.12,1.38,0.62,0.0,0.0,0.38,2.12,1.0,0.0,1.0,0.0,2.5,3.12,2.88,3.0,3.88,1.88,2.12,3.62,0,0.3617942472282607,0.2679815861197312,0.4345131995214473,0.3547630109564797
39-2011.00,Animal Trainers,3.12,3.0,2.75,3.0,1.62,1.38,3.38,3.12,3.88,3.5,3.0,3.0,2.88,2.25,3.12,3.0,2.75,1.0,0.75,0.12,0.0,0.12,1.5,1.75,0.0,1.25,0.0,2.12,2.88,2.62,2.62,2.75,1.5,1.75,2.5,0,0.4643269483543975,0.3585889953297965,0.5173043288114343,0.4467400908318761
39-2021.00,Animal Caretakers,2.88,3.0,2.5,2.75,1.88,0.5,2.88,2.12,2.0,2.88,2.25,2.5,1.75,1.62,2.0,2.88,2.25,0.0,0.62,0.62,0.12,0.25,1.38,0.75,0.5,1.25,0.25,1.5,2.12,1.75,1.62,2.0,0.75,0.88,1.75,1,0.7331090438439674,0.6806077588689732,0.6946354379712716,0.7027840802280707
39-3012.00,Gambling and Sports Book Writers and Runners,3.12,3.12,2.75,2.88,2.75,0.25,2.88,2.5,2.12,3.12,2.88,3.0,2.5,2.0,2.25,2.62,2.25,0.12,0.0,0.0,0.0,0.38,1.75,0.75,0.0,0.75,0.0,1.62,2.5,1.75,1.0,2.12,1.12,0.88,2.62,1,0.7015155126773607,0.6773153347894549,0.6644968547128087,0.6811092340598748
39-3021.00,Motion Picture Projectionists,3.0,3.0,2.75,2.88,0.5,0.0,2.75,2.12,2.0,2.88,2.25,2.62,2.0,2.0,1.88,2.5,2.25,1.62,0.25,2.0,0.5,0.62,3.0,2.75,2.62,2.75,2.25,2.62,2.25,1.25,1.12,2.62,0.0,0.5,1.62,1,0.7247053965215287,0.7538214313637468,0.684048945682548,0.7208585911892745
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2.25,2.75,2.12,2.5,1.38,0.0,2.62,2.12,1.25,2.62,3.0,2.38,2.5,2.25,1.12,3.0,2.12,0.38,0.0,0.0,0.0,0.38,1.75,0.62,0.0,0.88,0.0,1.62,2.12,1.38,1.38,2.0,0.0,0.0,2.0,1,0.7000169240707237,0.5813024881748561,0.6834672118339427,0.6549288746931742
